id/I,peaktime/F,chan/F,peakamp/F,sumadc/F,view/I,wire/S,index/I,x/F,y/F,z/F,dirx/F,diry/F,dirz/F,p/F
0,1599.46,81,10.7049,178.717,0,C:0 T:0 P:0 W:81,92,31.2743,-0.454398,27.4283,0.0841967,0.0108804,-0.99639,0
0,1605.06,321,15.911,300.655,1,C:0 T:0 P:1 W:81,93,31.3128,-0.449424,26.9728,0.0841967,0.0108804,-0.99639,0
0,1601.19,80,9.7722,160.644,0,C:0 T:0 P:0 W:80,94,31.313,-0.449391,26.9698,0.0841967,0.0108804,-0.99639,0
0,1603.89,79,13.3521,218.701,0,C:0 T:0 P:0 W:79,95,31.3519,-0.444362,26.5093,0.0841967,0.0108804,-0.99639,0
0,1607.13,320,15.9045,294.77,1,C:0 T:0 P:1 W:80,96,31.3521,-0.444346,26.5078,0.0841967,0.0108804,-0.99639,0
0,1605.66,78,14.0119,227.136,0,C:0 T:0 P:0 W:78,97,31.3907,-0.439355,26.0507,0.0841967,0.0108804,-0.99639,0
0,1608.31,319,17.4675,307.417,1,C:0 T:0 P:1 W:79,98,31.3912,-0.439291,26.0448,0.0841967,0.0108804,-0.99639,0
0,1607.37,77,14.2298,224.966,0,C:0 T:0 P:0 W:77,99,31.4294,-0.434349,25.5923,0.0841967,0.0108804,-0.99639,0
0,1610.41,318,17.2317,299.672,1,C:0 T:0 P:1 W:78,100,31.4305,-0.434213,25.5798,0.0841967,0.0108804,-0.99639,0
0,1608.95,76,12.7113,207.164,0,C:0 T:0 P:0 W:76,101,31.4681,-0.429346,25.1342,0.0841967,0.0108804,-0.99639,0
0,1611.34,317,21.5263,358.504,1,C:0 T:0 P:1 W:77,102,31.4695,-0.429163,25.1174,0.0864495,0.00241716,-0.996253,0
0,1611.02,75,12.0271,205.044,0,C:0 T:0 P:0 W:75,103,31.5081,-0.428085,24.673,0.0881043,-0.00381594,-0.996104,0
0,1614.3,316,18.5713,319.878,1,C:0 T:0 P:1 W:76,104,31.5099,-0.428162,24.6529,0.0881043,-0.00381594,-0.996104,0
0,1613.88,74,12.072,199.003,0,C:0 T:0 P:0 W:74,105,31.5492,-0.429865,24.2083,0.0881043,-0.00381594,-0.996104,0
0,1617.75,315,19.0491,352.918,1,C:0 T:0 P:1 W:75,106,31.5509,-0.429939,24.1889,0.0881043,-0.00381594,-0.996104,0
0,1615.94,73,13.229,204.406,0,C:0 T:0 P:0 W:73,107,31.5901,-0.431638,23.7455,0.0881043,-0.00381594,-0.996104,0
0,1619.39,314,17.4718,318.758,1,C:0 T:0 P:1 W:74,108,31.5916,-0.431701,23.729,0.0881043,-0.00381594,-0.996104,0
0,1617.93,72,12.6306,206.1,0,C:0 T:0 P:0 W:72,109,31.6311,-0.43341,23.2828,0.0881043,-0.00381594,-0.996104,0
0,1621.52,313,17.9309,318.848,1,C:0 T:0 P:1 W:73,110,31.6324,-0.433467,23.268,0.0881043,-0.00381594,-0.996104,0
0,1619.14,71,13.5915,218.956,0,C:0 T:0 P:0 W:71,111,31.6718,-0.435176,22.8219,0.0881043,-0.00381594,-0.996104,0
0,1621.43,312,16.5125,310.999,1,C:0 T:0 P:1 W:72,112,31.6727,-0.435213,22.8121,0.0881043,-0.00381594,-0.996104,0
0,1621.43,70,15.2249,249.87,0,C:0 T:0 P:0 W:70,113,31.7128,-0.436951,22.3585,0.0881043,-0.00381594,-0.996104,0
0,1623.19,311,20.7906,340.421,1,C:0 T:0 P:1 W:71,114,31.7134,-0.436976,22.352,0.0881043,-0.00381594,-0.996104,0
0,1623.18,69,14.1349,235.547,0,C:0 T:0 P:0 W:69,115,31.7537,-0.438721,21.8964,0.0881043,-0.00381594,-0.996104,0
0,1625.64,310,22.5798,377.732,1,C:0 T:0 P:1 W:70,116,31.7542,-0.438745,21.8903,0.0881043,-0.00381594,-0.996104,0
0,1626.67,68,13.1941,222.473,0,C:0 T:0 P:0 W:68,117,31.7949,-0.440507,21.4303,0.0881043,-0.00381594,-0.996104,0
0,1628.14,309,17.9925,338.012,1,C:0 T:0 P:1 W:69,118,31.7951,-0.440514,21.4284,0.0881043,-0.00381594,-0.996104,0
0,1628.42,67,12.6229,210.925,0,C:0 T:0 P:0 W:67,119,31.8358,-0.442278,20.9681,0.0881043,-0.00381594,-0.996104,0
